"Place";"Location";"Longitude";"Latitude";"Type_of_Venue";"Specialty";"Adventure_Activities";"Distance_from_Pune_km";"Best_Time_to_Visit"
"C1 Lounge";"Koregaon Park";73.7917;18.5665;"Nightclub";"Open-Air Ambience";"";0;""
"Classic Rock Coffee Co.";"Baner";73.8047;18.5906;"Cafe";"Rock Music";"";0;""
"Coco - Sushi and Bar";"Wakad";73.8486;18.5902;"Bar";"Sushi and Cocktails";"";0;""
"Effingut Brewerkz";"Koregaon Park";73.8825;18.4999;"Brewery";"Craft Beer";"";0;""
"High Spirits";"Koregaon Park";73.8711;18.5253;"Bar";"Live Music and Events";"";0;""
"Mi A Mi";"SB Road";73.7735;18.5653;"Nightclub";"Late-Night Parties";"";0;""
"Penthouze";"Mundhwa";73.7522;18.5792;"Club";"City View";"";0;""
"Swig Bar & Eatery";"Koregaon Park";73.7709;18.4595;"Bar";"Casual Dining";"";0;""
"The Daily All Day";"Koregaon Park";73.8095;18.5968;"Cafe";"Casual";"";0;""
"The FML Lounge";"Baner";73.7944;18.5954;"Lounge";"Live Performances";"";0;""
"The House of Medici";"Koregaon Park";73.8075;18.5583;"Lounge";"Luxury Lounge";"";0;""
"The Irish House";"Viman Nagar";73.4045;18.5076;"Pub";"Irish Vibes";"";0;""
"The Sassy Spoon";"Koregaon Park";73.7894;18.5157;"Bar";"Eclectic Cocktails";"";0;""
"The Urban Foundry";"Balewadi High Street";73.4118;18.5745;"Restaurant";"Industrial Theme";"";0;""
"Unwind";"Mundhwa";73.4127;18.5789;"Lounge";"Rooftop Lounge";"";0;""
"Sinhagad Fort";"Sinhagad, Pune";73.7751;18.333;"";"Adventure";"Trekking, Photography, Historical Exploration";35;"Winter (Nov-Feb)"
"Rajmachi Fort";"Near Lonavala";73.4095;18.7507;"";"Adventure";"Trekking, Camping, Nature Photography";78;"Monsoon (June-Sep)"
"Andharban";"Pimpri, Tamhini Ghat";73.4705;18.5701;"";"Adventure";"Trekking, Jungle Walk, Photography";70;"Monsoon (June-Sep)"
"Kundalika River";"Kolad";73.1996;18.4019;"";"Adventure";"White Water Rafting, Kayaking";120;"Monsoon (June-Oct)"
"Kalsubai Peak";"Igatpuri";73.6972;19.6176;"";"Adventure";"Trekking, Camping, Sunrise View";180;"Winter (Nov-Feb)"
"Lonavala";"Lonavala";73.4043;18.7566;"";"Adventure";"Paragliding, Trekking, Hot Air Balloon Ride";66;"Winter (Nov-Feb)"
"Pawna Lake";"Near Lonavala";73.5045;18.6213;"";"Adventure";"Camping, Bonfire, Boating";58;"Monsoon (June-Sep)"
"Ratangad Fort";"Ratanwadi";73.7429;19.5633;"";"Adventure";"Trekking, Historical Exploration, Camping";180;"Winter (Nov-Feb)"
"Bhandardara";"Ahmednagar";73.7583;19.6028;"";"Adventure";"Trekking, Boating, Camping";162;"Monsoon (June-Sep)"
"Tikona Fort";"Near Kamshet";73.4076;18.7181;"";"Adventure";"Trekking, Fort Exploration, Camping";60;"Winter (Nov-Feb)"
"Harishchandragad";"Ahmednagar";73.7536;19.3948;"";"Adventure";"Trekking, Camping, Photography";170;"Monsoon (June-Sep)"
"Rajgad Fort";"Balhegaon";73.7285;18.3187;"";"Adventure";"Trekking, Camping, Historical Fort Exploration";60;"Winter (Nov-Feb)"
"Devkund Waterfall";"Bhira, Tamhini Ghat";73.7567;18.4717;"";"Adventure";"Trekking, Camping, Photography";110;"Monsoon (June-Sep)"
"Lavasa";"Lavasa";73.4795;18.4098;"";"Adventure";"Water Sports, Cycling, Adventure Sports";60;"Winter (Nov-Feb)"
"Mahabaleshwar";"Mahabaleshwar";73.5193;18.7087;"";"Adventure";"Trekking, Paragliding, Boating";120;"Winter (Nov-Feb)"
